Date,AAPL,AMZN,GOOG,META,MSFT,NFLX
2020-01-02,73.6835708618164,94.90049743652344,68.36849975585938,209.77999877929688,156.5919952392578,329.80999755859375
2020-01-03,72.96720886230469,93.74849700927734,68.03299713134766,208.6699981689453,154.6421661376953,325.8999938964844
2020-01-06,73.54862976074219,95.14399719238281,69.71050262451172,212.60000610351562,155.0418701171875,335.8299865722656
2020-01-07,73.20271301269531,95.34300231933594,69.66699981689453,213.05999755859375,153.6282501220703,330.75
2020-01-08,74.38028717041016,94.59850311279297,70.21600341796875,215.22000122070312,156.07530212402344,339.260009765625
2020-01-09,75.9601821899414,95.05249786376953,70.99150085449219,218.3000030517578,158.02513122558594,335.6600036621094
2020-01-10,76.13190460205078,94.15799713134766,71.48650360107422,218.05999755859375,157.29396057128906,329.04998779296875
2020-01-13,77.75843048095703,94.56500244140625,71.96150207519531,221.91000366210938,159.18531799316406,338.9200134277344
2020-01-14,76.70842742919922,93.47200012207031,71.54399871826172,219.05999755859375,158.0641326904297,338.69000244140625
2020-01-15,76.37969970703125,93.10099792480469,71.95999908447266,221.14999389648438,159.08779907226562,339.07000732421875
2020-01-16,77.33646392822266,93.89700317382812,72.58499908447266,221.77000427246094,162.00282287597656,338.6199951171875
2020-01-17,78.1926498413086,93.23600006103516,74.01950073242188,222.13999938964844,162.90948486328125,339.6700134277344
2020-01-21,77.66275787353516,94.5999984741211,74.22000122070312,221.44000244140625,162.3245849609375,338.1099853515625
2020-01-22,77.93997192382812,94.37300109863281,74.29750061035156,221.32000732421875,161.5446014404297,326.0
2020-01-23,78.31532287597656,94.22899627685547,74.3324966430664,219.75999450683594,162.5390167236328,349.6000061035156
2020-01-24,78.08960723876953,93.08200073242188,73.33550262451172,217.94000244140625,160.90113830566406,353.1600036621094
2020-01-27,75.79336547851562,91.41699981689453,71.69499969482422,214.8699951171875,158.21038818359375,342.8800048828125
2020-01-28,77.9375,92.6624984741211,72.62799835205078,217.7899932861328,161.3106231689453,348.5199890136719
2020-01-29,79.56892395019531,92.9000015258789,72.93150329589844,223.22999572753906,163.82591247558594,343.1600036621094
2020-01-30,79.45360565185547,93.53399658203125,72.79199981689453,209.52999877929688,168.4470672607422,347.739990234375
2020-01-31,75.93074798583984,100.43599700927734,71.71150207519531,201.91000366210938,165.9610137939453,345.0899963378906
2020-02-03,75.72222900390625,100.20999908447266,74.2969970703125,204.19000244140625,170.0069122314453,358.0
2020-02-04,78.22210693359375,102.4834976196289,72.35350036621094,209.8300018310547,175.60296630859375,369.010009765625
2020-02-05,78.85993957519531,101.99349975585938,72.4114990234375,210.11000061035156,175.3885040283203,369.6700134277344
2020-02-06,79.78235626220703,102.5114974975586,73.8115005493164,210.85000610351562,179.0249786376953,366.95001220703125
2020-02-07,78.69790649414062,103.96399688720703,73.96150207519531,212.3300018310547,179.27845764160156,366.7699890136719
2020-02-10,79.07168579101562,106.69550323486328,75.43399810791016,213.05999755859375,183.96783447265625,371.07000732421875
