,ts_code,open,high,low,close,pre_close,vol,amount,turn,paused,pct_chg,isST
2024-10-11,sh.600519,1615.4000000000,1639.9600000000,1590.0000000000,1604.9900000000,1640.0000000000,4191471,6764982707.4300,0.333700,0,-2.134800,0
2024-10-10,sh.600519,1622.2600000000,1668.0800000000,1591.0000000000,1640.0000000000,1595.1500000000,7460342,12198964035.3500,0.593900,0,2.811600,0
2024-10-09,sh.600519,1700.0000000000,1700.0000000000,1590.0000000000,1595.1500000000,1723.0000000000,12019684,19708432734.0000,0.956800,0,-7.420200,0
2024-10-08,sh.600519,1910.0000000000,1910.0000000000,1680.1800000000,1723.0000000000,1748.0000000000,19470947,35114075007.0400,1.550000,0,-1.430200,0
2024-09-30,sh.600519,1692.0000000000,1759.8800000000,1652.0000000000,1748.0000000000,1629.2000000000,15729341,26982747037.2400,1.252100,0,7.291900,0
2024-09-27,sh.600519,1600.0000000000,1629.2000000000,1565.3600000000,1629.2000000000,1529.0000000000,8792167,14050260568.9400,0.699900,0,6.553300,0
2024-09-26,sh.600519,1399.9600000000,1529.8700000000,1396.0000000000,1529.0000000000,1399.0000000000,9727806,14269262657.3100,0.774400,0,9.292400,0
2024-09-25,sh.600519,1400.0500000000,1427.0000000000,1396.7100000000,1399.0000000000,1372.6000000000,7395380,10420109654.7500,0.588700,0,1.923400,0
2024-09-24,sh.600519,1285.0900000000,1373.0000000000,1265.0900000000,1372.6000000000,1261.5400000000,10041281,13297277523.0100,0.799300,0,8.803500,0
2024-09-23,sh.600519,1268.0000000000,1293.5000000000,1260.6600000000,1261.5400000000,1263.9200000000,4554969,5809791682.2700,0.362600,0,-0.188300,0
2024-09-20,sh.600519,1261.5000000000,1273.9000000000,1250.0300000000,1263.9200000000,1261.0000000000,3998184,5038507834.9400,0.318300,0,0.231600,0
2024-09-19,sh.600519,1262.0000000000,1292.8800000000,1245.8300000000,1261.0000000000,1266.9000000000,5998821,7623739997.1600,0.477500,0,-0.465700,0
2024-09-18,sh.600519,1300.0000000000,1300.0100000000,1266.6600000000,1266.9000000000,1304.1300000000,4618531,5895948010.8200,0.367700,0,-2.854800,0
2024-09-13,sh.600519,1331.0000000000,1332.0000000000,1297.3000000000,1304.1300000000,1335.0600000000,5600511,7329376916.8500,0.445800,0,-2.316700,0
2024-09-12,sh.600519,1380.0000000000,1385.0000000000,1334.9100000000,1335.0600000000,1380.0000000000,4794831,6482445000.4000,0.381700,0,-3.256500,0
2024-09-11,sh.600519,1375.6000000000,1385.8800000000,1365.0000000000,1380.0000000000,1378.0000000000,2099577,2892932793.6800,0.167100,0,0.145100,0
2024-09-10,sh.600519,1370.0200000000,1393.0000000000,1370.0200000000,1378.0000000000,1375.0000000000,1980284,2737295643.8400,0.157600,0,0.218200,0
2024-09-09,sh.600519,1380.0100000000,1393.7100000000,1370.0800000000,1375.0000000000,1398.0000000000,2863755,3950086824.5200,0.228000,0,-1.645200,0
2024-09-06,sh.600519,1405.0000000000,1406.0000000000,1398.0000000000,1398.0000000000,1404.8800000000,1032104,1445537257.0900,0.082200,0,-0.489700,0
2024-09-05,sh.600519,1400.5000000000,1407.0000000000,1397.0000000000,1404.8800000000,1400.0000000000,1450295,2033680838.8500,0.115500,0,0.348600,0
2024-09-04,sh.600519,1402.0000000000,1419.1900000000,1399.7400000000,1400.0000000000,1410.0000000000,1421109,1995221417.2300,0.113100,0,-0.709200,0
2024-09-03,sh.600519,1398.0000000000,1414.9800000000,1393.0200000000,1410.0000000000,1395.0000000000,1788760,2516125842.3200,0.142400,0,1.075300,0
2024-09-02,sh.600519,1430.0000000000,1438.0000000000,1395.0000000000,1395.0000000000,1443.1900000000,3413459,4801049927.2000,0.271700,0,-3.339100,0
2024-08-30,sh.600519,1413.0000000000,1458.0700000000,1405.0000000000,1443.1900000000,1413.3000000000,3873923,5576118648.8100,0.308400,0,2.114900,0
2024-08-29,sh.600519,1380.0000000000,1418.0000000000,1380.0000000000,1413.3000000000,1389.0000000000,2747161,3864270620.6200,0.218700,0,1.749500,0
2024-08-28,sh.600519,1404.0700000000,1406.0000000000,1375.0000000000,1389.0000000000,1404.0700000000,3166351,4388025874.5700,0.252100,0,-1.073300,0
2024-08-27,sh.600519,1412.0000000000,1413.0000000000,1401.1100000000,1404.0700000000,1412.0000000000,1365740,1920770569.5500,0.108700,0,-0.561600,0
2024-08-26,sh.600519,1417.0000000000,1423.8600000000,1403.1500000000,1412.0000000000,1414.9900000000,1562841,2207595460.9200,0.124400,0,-0.211300,0
2024-08-23,sh.600519,1408.0000000000,1423.5000000000,1406.1200000000,1414.9900000000,1410.0500000000,1532046,2166499201.6700,0.122000,0,0.350300,0
2024-08-22,sh.600519,1416.0000000000,1420.0000000000,1400.0100000000,1410.0500000000,1417.5800000000,1952729,2750868072.6300,0.155400,0,-0.531200,0
2024-08-21,sh.600519,1420.0000000000,1427.9800000000,1415.6900000000,1417.5800000000,1422.7200000000,1509165,2144746551.0300,0.120100,0,-0.361300,0
2024-08-20,sh.600519,1429.9000000000,1429.9300000000,1414.0000000000,1422.7200000000,1425.4400000000,1859138,2644814343.5800,0.148000,0,-0.190800,0
2024-08-19,sh.600519,1432.0000000000,1458.8800000000,1425.0000000000,1425.4400000000,1431.2000000000,2043279,2942106435.2000,0.162700,0,-0.402500,0
2024-08-16,sh.600519,1426.7900000000,1435.9200000000,1417.0100000000,1431.2000000000,1426.8900000000,1645470,2349825846.1000,0.131000,0,0.302100,0
2024-08-15,sh.600519,1405.0300000000,1435.9900000000,1403.9500000000,1426.8900000000,1413.3000000000,2303897,3275699572.4000,0.183400,0,0.961600,0
